Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-123.33,-122.75,-124.3,2.919695725440979,100.0,0.16,88.0,46.1301763,-3.2704892,6.686825059772635,158.3,-0.55,-0.12,-0.36,159.42
-123.24,-122.54,-124.23,2.923551470041275,100.0,0.21,87.5,46.130119,-3.2704535,6.686825059772635,158.06,-0.35,-0.15,-0.23,159.5
-123.09,-122.46,-124.05,2.9286033374071123,100.0,0.2,87.0,46.1300598,-3.2704193,6.686825059772635,157.99,0.15,0.01,-0.12,159.65
-123.26,-122.72,-124.31,2.9374752402305604,100.0,0.19,88.0,46.1300003,-3.2703846,6.725701949655034,158.03,0.18,0.32,-0.29,159.78
-123.41,-122.78,-124.37,2.91808476626873,100.0,0.25,86.0,46.1299709,-3.2703668,6.725701949655034,158.01,-0.31,0.54,-0.3,159.76
-123.12,-122.36,-124.46,2.924226678609848,100.0,0.26,88.0,46.1299139,-3.2703313,6.745140394596233,157.88,-0.42,0.46,-0.04,159.6
-122.38,-121.75,-123.73,2.927159849405289,100.0,0.22,89.0,46.12985765,-3.2703022,6.725701949655034,157.86,0.39,0.12,0.73,159.27
-122.05,-121.54,-123.62,2.9231900012493135,100.0,0.2,87.5,46.12980085,-3.2702785,6.686825059772635,158.45,0.67,-0.19,0.78,159.23
-122.39,-121.55,-123.44,2.9225898575782776,100.0,0.23,89.5,46.1297432,-3.2702539,6.647948169890236,159.14,0.15,-0.32,0.53,159.31
-123.05,-122.23,-124.25,2.9230678725242614,100.0,0.21,88.0,46.12971395,-3.2702385,6.647948169890236,159.35,-1.32,-0.34,-0.15,159.62
-123.7,-122.96,-124.98,2.9160041391849516,100.0,0.19,86.5,46.1296554,-3.2702016,6.667386614831435,159.25,-1.82,0.12,-0.75,159.89
-123.75,-123.16,-124.95,2.934258922934532,100.0,0.17,88.5,46.12959685,-3.2701613,6.686825059772635,158.64,-0.61,0.5,-0.61,159.84
-123.28,-122.49,-124.69,2.889782901406288,100.0,0.16,87.0,46.12953845,-3.2701273,6.725701949655034,158.34,0.92,0.24,-0.11,159.58
-123.18,-122.5,-124.62,2.9248957335948944,100.0,0.21,86.5,46.129481,-3.2700974,6.725701949655034,158.53,0.79,-0.03,-0.15,159.39
-123.28,-122.5,-124.58,2.936963311433792,100.0,0.19,86.0,46.1294525,-3.2700815,6.706263504713834,158.63,0.2,-0.16,-0.15,159.44
-123.15,-122.34,-124.13,2.9195892810821533,100.0,0.21,86.0,46.1293953,-3.2700476,6.706263504713834,158.58,-0.78,-0.24,0.03,159.69
-123.08,-122.38,-124.37,2.924348419904709,100.0,0.16,88.0,46.12933675,-3.2700121,6.706263504713834,158.37,-0.43,0.4,0.03,159.83
